hr,arr
110,true
114,true
116,true
118,true
113,true
112,true
116,true
109,true
108,true
109,true
111,true
109,true
109,true
109,true
111,true
115,true
109,true
118,true
118,true
116,true
120,true
121,true
119,true
120,true
117,true
114,true
114,true
113,true
112,true
106,true
108,true
105,true
104,true
104,true
108,true
109,true
101,true
109,true
99,true
98,true
105,true
100,true
98,true
99,true
104,true
98,true
105,true
103,true
93,true
99,true
103,true
98,true
101,true
100,true
96,true
103,true
99,true
99,true
97,true
100,true
99,true
97,true
97,true
96,true
100,true
99,true
97,true
102,true
98,true
99,true
100,true
110,true
104,true
99,true
101,true
96,true
94,true
100,true
97,true
104,true
100,true
96,true
103,true
96,true
96,true
99,true
100,true
98,true
93,true
94,true
96,true
96,true
93,true
99,true
93,true
94,true
100,true
99,true
97,true
99,true
98,true
100,true
97,true
99,true
93,true
101,true
94,true
88,false
93,true
88,true
88,true
85,true
93,true
85,true
86,true
97,true
91,true
86,true
97,true
86,true
88,true
87,true
89,true
91,true
90,true
88,true
91,true
89,true
83,true
90,true
92,true
94,true
96,true
95,true
91,true
95,true
97,true
96,true
95,true
96,true
96,true
97,true
95,true
98,true
97,true
99,true
99,true
98,true
99,true
100,true
100,true
97,true
93,true
96,true
96,true
98,true
98,true
94,true
98,true
101,true
97,true
97,true
94,true
93,true
95,true
92,true
93,true
90,true
93,true
92,true
94,true
92,true
97,true
93,true
95,true
92,true
91,true
92,true
87,true
86,true
93,true
91,true
97,true
98,true
91,true
99,true
100,true
103,true
94,true
91,true
95,true
93,true
94,true
99,true
102,true
107,true
91,true
99,true
101,true
106,true
101,true
90,true
99,true
107,true
98,true
94,true
88,true
91,true
93,true
101,true
107,true
94,true
86,true
100,true
93,true
109,true
103,true
90,true
96,true
106,true
103,true
102,true
109,true
102,true
107,true
101,true
105,true
101,true
110,true
99,true
99,true
92,true
100,true
97,true
100,true
103,true
102,true
102,true
97,true
101,true
95,true
103,true
94,true
96,true
107,true
100,true
102,true
99,true
98,true
104,true
102,true
106,true
95,true
101,true
102,true
102,true
87,true
105,true
106,true
104,true
94,true
102,true
99,true
96,true
96,true
95,true
95,true
101,true
97,true
92,true
95,true
101,true
92,true
96,true
96,true
98,true
92,true
98,true
97,true
95,true
98,true
90,true
99,true
92,true
97,true
99,true
96,true
97,true
93,true
98,true
107,true
90,true
99,true
97,true
94,true
98,true
91,true
97,true
95,true
90,true
98,true
96,true
98,true
91,true
97,true
92,true
100,true
91,true
96,true
98,true
90,true
99,true
90,true
101,true
90,true
90,true
100,true
94,true
96,true
94,true
97,true
95,true
90,true
99,true
96,true
96,true
96,true
96,true
96,true
95,true
95,true
96,true
96,true
92,true
96,true
97,true
99,true
94,true
98,true
97,true
98,true
101,true
98,true
97,true
99,true
95,true
96,true
95,true
88,true
93,true
97,true
94,true
95,true
94,true
90,true
88,true
89,true
95,true
91,true
96,true
90,true
89,true
91,true
87,true
86,true
92,true
103,true
94,true
93,true
85,true
83,true
78,true
81,false
81,true
78,true
81,false
85,true
85,true
76,true
74,true
76,false
76,false
90,true
92,true
102,true
97,true
93,true
95,true
92,true
90,true
101,true
96,true
96,true
96,true
102,true
90,true
95,true
96,true
91,true
96,true
99,true
98,true
101,true
96,true
99,true
94,true
98,true
95,true
92,true
104,true
97,true
90,true
95,true
91,true
95,true
93,true
89,true
100,true
101,true
96,true
100,true
94,true
99,true
98,true
90,true
94,true
89,true
99,true
102,true
98,true
98,true
90,true
91,true
94,true
92,true
91,true
93,true
90,true
93,true
92,true
92,true
88,true
95,true
96,true
95,true
91,true
93,true
92,true
91,true
95,true
93,true
87,true
89,true
92,true
94,true
97,true
90,true
84,true
80,false
83,true
86,true
88,true
88,true
78,true
79,false
93,true
88,true
87,true
80,false
81,false
94,true
100,true
97,true
78,false
77,false
88,true
79,false
78,false
97,true
100,true
88,true
102,true
91,true
88,true
91,true
85,true
78,false
88,true
82,true
110,true
96,true
100,true
78,false
93,true
82,true
77,false
98,true
89,true
92,true
99,true
90,true
95,true
90,true
113,true
76,false
92,true
93,true
95,true
94,true
86,true
93,true
85,true
94,true
88,true
91,true
90,true
94,true
97,true
85,true
94,true
86,true
89,true
96,true
98,true
73,false
75,false
95,true
92,true
92,true
102,true
100,true
104,true
87,true
100,true
101,true
98,true
97,true
105,true
105,true
99,true
95,true
90,true
101,true
79,true
85,true
102,true
86,true
73,true
73,true
78,true
92,true
91,true
97,true
97,true
94,true
105,true
97,true
98,true
100,true
100,true
76,false
99,true
91,true
94,true
99,true
93,true
92,true
103,true
91,true
92,true
94,true
106,true
95,true
94,true
101,true
101,true
97,true
100,true
108,true
99,true
93,true
104,true
81,true
89,true
96,true
97,true
92,true
89,true
105,true
93,true
103,true
101,true
94,true
74,true
98,true
86,true
92,true
99,true
99,true
93,true
96,true
89,true
88,true
88,true
93,true
93,true
94,true
96,true
90,true
89,true
91,true
88,true
100,true
96,true
104,true
92,true
101,true
91,true
91,true
95,true
90,true
92,true
93,true
94,true
87,true
97,true
88,true
91,true
103,true
104,true
102,true
100,true
99,true
95,true
102,true
97,true
94,true
95,true
92,true
85,true
84,true
81,false
81,false
77,true
78,false
80,false
79,false
79,false
92,true
80,true
80,false
78,false
87,true
92,true
96,true
87,true
81,true
82,true
93,true
91,true
84,true
86,true
85,true
97,true
88,true
98,true
92,true
89,true
95,true
94,true
93,true
93,true
88,true
92,true
89,true
94,true
83,true
87,true
84,true
94,true
86,true
92,true
85,true
90,true
92,true
81,true
97,true
93,true
87,true
97,true
88,true
89,true
104,true
92,true
93,true
96,true
89,true
99,true
101,true
93,true
85,true
88,true
85,true
89,true
94,true
81,true
97,true
101,true
96,true
91,true
93,true
89,true
94,true
77,true
76,false
103,true
92,true
95,true
94,true
90,true
87,true
84,true
83,true
91,true
90,true
89,true
88,true
88,true
93,true
102,true
94,true
92,true
88,true
80,true
96,true
93,true
90,true
91,true
92,true
86,true
91,true
84,true
89,true
90,true
86,true
87,true
98,true
91,true
83,true
95,true
95,true
89,true
93,true
95,true
90,true
96,true
95,true
105,true
93,true
100,true
95,true
81,true
100,true
92,true
104,true
98,true
92,true
82,true
93,true
100,true
97,true
73,false
94,true
93,true
95,true
98,true
93,true
86,true
109,true
97,true
95,true
91,true
86,true
99,true
102,true
94,true
100,true
95,true
98,true
95,true
106,true
97,true
90,true
104,true
94,true
94,true
100,true
90,true
95,true
97,true
102,true
98,true
90,true
101,true
101,true
99,true
90,true
96,true
94,true
90,true
91,true
91,true
88,true
96,true
90,true
91,true
97,true
84,true
79,true
74,false
75,false
75,false
75,false
86,true
88,true
99,true
90,true
89,true
91,true
92,true
93,true
90,true
91,true
92,true
87,true
90,true
93,true
87,true
86,true
102,true
89,true
95,true
104,true
92,true
89,true
85,true
96,true
91,true
93,true
91,true
86,true
87,true
87,true
93,true
86,true
92,true
93,true
95,true
86,true
95,true
92,true
71,true
85,true
101,true
91,true
93,true
96,true
90,true
86,true
95,true
86,true
84,true
90,true
101,true
97,true
83,true
99,true
90,true
90,true
83,true
94,true
88,true
94,true
94,true
96,true
91,true
93,true
93,true
92,true
93,true
97,true
95,true
89,true
92,true
90,true
88,true
86,true
88,true
87,true
89,true
83,false
88,true
91,true
91,true
83,false
80,false
84,true
88,true
91,true
86,false
83,false
81,false
79,false
79,false
79,true
79,true
83,true
86,true
80,true
76,false
77,false
90,true
93,true
81,true
78,true
73,false
75,false
74,false
85,true
87,true
85,true
90,true
88,true
88,true
87,true
86,true
78,true
77,false
80,true
85,true
75,false
74,false
88,true
98,true
90,true
88,true
89,true
73,false
86,true
95,true
87,true
92,true
92,true
91,true
89,true
96,true
92,true
93,true
92,true
94,true
82,true
88,true
99,true
97,true
97,true
91,true
82,true
96,true
97,true
98,true
91,true
93,true
90,true
90,true
90,true
91,true
90,true
89,true
93,true
95,true
96,true
93,true
89,true
91,true
93,true
94,true
95,true
91,true
92,true
94,true
91,true
95,true
97,true
92,true
90,true
91,true
92,true
85,true
85,true
83,false
88,true
90,true
87,true
86,true
85,true
88,true
86,true
87,true
85,true
78,false
77,false
78,false
86,true
90,true
84,true
89,true
76,false
81,true
76,false
83,true
80,true
91,true
89,true
80,true
73,false
72,false
81,true
89,true
77,true
71,false
73,false
72,false
93,true
100,true
86,true
102,true
77,true
72,false
81,true
84,true
99,true
71,false
88,true
93,true
86,true
86,true
69,false
74,true
95,true
103,true
77,true
71,false
91,true
98,true
85,true
105,true
84,true
85,true
84,true
91,true
84,true
71,false
78,true
86,true
81,true
78,true
78,true
90,true
93,true
91,true
98,true
98,true
93,true
83,true
98,true
85,true
93,true
87,true
88,true
103,true
79,true
72,false
72,false
85,true
86,true
91,true
100,true
86,true
83,true
96,true
80,true
87,true
91,true
86,true
86,true
89,true
93,true
92,true
93,true
86,true
86,true
80,true
