hr,arr
87,false
86,false
71,true
82,false
85,false
86,false
76,false
88,false
88,false
74,false
88,false
87,false
86,false
83,false
84,false
88,false
82,false
92,true
81,false
81,false
87,true
79,false
88,false
90,false
89,false
88,false
85,false
85,false
82,false
79,false
83,false
84,false
90,false
87,false
89,false
91,false
101,false
90,false
95,false
82,false
88,false
90,false
89,false
76,false
80,false
89,false
82,false
77,true
88,false
80,false
81,false
90,false
92,false
75,false
85,false
89,false
87,false
87,false
86,false
84,false
84,false
87,false
85,false
94,false
83,false
87,false
88,false
84,false
81,false
86,false
89,false
98,false
86,false
80,false
79,false
90,false
79,false
85,false
79,false
84,false
89,false
85,false
82,false
110,false
113,false
105,false
101,false
103,false
101,false
103,false
87,false
93,false
91,false
89,false
86,false
91,true
81,false
84,false
86,false
93,false
89,false
100,false
84,false
94,false
102,false
95,false
99,false
103,true
93,false
93,false
83,false
101,false
95,false
96,false
97,false
94,false
92,false
96,false
109,false
97,false
90,false
100,true
99,false
92,false
83,false
95,false
84,false
94,false
95,false
89,false
87,false
92,false
94,false
99,false
89,false
93,false
85,false
93,false
89,false
83,false
83,false
88,true
80,false
85,false
90,false
91,false
77,false
88,false
80,false
93,false
87,false
90,true
84,false
84,false
86,false
89,false
83,true
86,false
85,false
86,false
75,false
87,false
86,false
86,false
88,false
84,false
83,true
84,false
93,false
92,false
98,false
97,false
95,false
105,false
103,false
96,false
105,false
95,false
101,false
99,false
119,false
95,false
108,false
112,false
102,false
102,false
106,false
96,false
96,false
99,false
99,false
92,false
110,false
90,false
89,false
96,false
84,false
93,false
79,false
92,false
96,false
85,false
95,false
97,false
106,true
103,false
103,false
99,false
97,false
85,false
93,false
92,false
89,false
87,false
94,false
98,false
97,false
87,false
93,false
84,false
89,false
95,false
94,false
94,false
93,false
92,false
92,false
92,false
95,false
89,false
89,false
95,false
85,false
96,false
89,false
103,false
87,false
89,false
97,false
96,false
92,false
89,false
90,false
98,false
92,false
92,false
80,false
91,false
92,false
108,false
98,false
96,false
101,false
92,false
103,false
89,false
83,false
95,false
99,false
81,false
94,false
85,false
85,false
82,false
91,false
98,true
87,true
93,false
85,false
88,false
89,false
98,false
91,false
92,false
88,false
83,false
103,false
89,false
82,false
92,false
89,false
89,false
86,false
94,false
85,false
88,false
97,false
96,false
92,false
91,false
88,false
91,false
99,false
93,false
87,false
91,false
95,false
90,false
85,false
101,false
85,false
99,false
102,false
90,false
93,false
91,false
97,false
94,false
96,false
86,false
89,false
89,false
84,false
98,false
98,false
99,false
97,false
89,false
95,false
88,false
94,false
98,true
84,false
86,false
84,false
91,true
92,false
94,false
90,false
91,false
86,false
90,false
85,false
84,false
96,false
92,false
87,false
91,false
100,false
99,false
89,false
89,false
95,false
90,false
85,false
95,false
96,false
96,false
84,false
91,false
90,false
88,false
73,false
93,false
101,false
89,false
82,false
96,false
82,false
95,false
95,false
94,false
85,false
91,false
83,false
100,false
86,false
94,true
96,false
88,false
90,true
93,false
92,false
85,false
89,false
91,false
99,false
85,false
95,false
91,false
86,false
85,false
89,false
86,false
89,false
82,false
90,false
85,false
89,false
89,false
92,false
92,false
83,false
97,false
83,false
81,false
90,false
86,false
92,false
87,false
88,false
81,false
80,false
96,false
93,false
96,false
96,false
88,false
93,false
95,false
84,false
94,false
93,false
83,false
94,false
88,false
91,false
87,false
91,false
89,false
99,false
89,false
88,false
86,false
90,false
85,false
93,false
89,false
96,false
97,false
90,false
96,true
87,false
88,false
91,false
94,false
98,false
96,false
105,false
104,false
106,false
100,false
102,false
98,false
115,false
109,false
87,false
99,false
92,false
100,false
93,false
106,false
90,false
93,false
96,false
92,true
95,false
93,false
96,false
90,false
105,false
97,false
100,false
105,false
100,false
97,false
91,false
99,false
100,false
100,false
96,false
89,false
98,false
91,false
93,false
91,false
83,false
93,false
95,false
97,false
93,false
85,false
84,false
102,false
95,false
96,false
87,false
89,false
80,false
97,false
92,false
97,false
91,false
90,false
114,false
106,false
109,false
114,false
124,false
97,false
107,false
100,false
107,false
94,false
97,false
89,false
96,false
95,false
104,false
107,false
102,false
98,false
104,false
92,false
101,false
88,false
94,false
103,false
104,false
90,false
97,false
104,false
93,false
103,false
97,false
99,false
100,false
96,false
100,false
100,false
101,false
107,false
104,false
105,false
102,true
102,false
105,false
106,false
97,false
110,false
105,false
105,true
105,false
93,false
104,false
96,false
99,false
98,false
103,false
96,false
93,false
94,false
96,false
93,false
92,false
101,false
90,false
94,false
101,false
104,false
115,false
103,false
103,false
111,true
112,false
102,false
104,false
111,false
105,false
105,false
94,false
97,false
85,false
95,false
96,false
96,false
95,false
85,false
95,false
96,false
89,false
98,false
96,false
89,false
98,false
90,false
90,false
94,false
80,false
90,false
84,false
94,false
99,false
85,false
87,false
97,false
90,false
84,false
88,true
95,false
91,false
95,false
91,false
94,false
96,false
82,false
87,false
90,false
98,false
93,false
82,false
101,false
93,false
83,false
85,false
91,true
92,false
91,false
85,false
95,false
85,false
85,false
88,false
88,false
91,false
90,false
81,false
83,false
82,false
82,false
98,false
85,true
93,true
89,false
98,false
85,false
88,false
89,false
92,false
89,false
86,false
83,false
91,false
89,false
86,false
84,false
83,false
87,false
85,false
82,false
83,false
87,false
80,false
89,false
86,false
79,false
87,false
84,false
96,true
88,false
79,false
86,false
91,false
76,false
83,false
94,false
84,false
84,false
85,false
90,false
92,false
82,false
92,false
82,false
83,false
78,false
84,false
81,false
79,false
89,false
85,false
86,false
96,false
87,false
79,false
79,false
85,false
99,false
107,false
112,false
97,false
109,false
105,false
99,false
97,false
102,false
92,false
101,false
93,false
94,false
90,false
97,false
93,true
102,true
103,false
102,false
90,false
107,false
105,false
111,false
111,false
99,false
99,false
96,false
113,false
108,false
107,false
105,false
98,false
87,false
91,false
91,false
92,false
92,false
92,false
85,false
91,false
93,false
97,false
87,false
86,false
98,false
98,false
86,false
101,false
100,false
103,false
95,false
90,false
90,false
93,false
95,false
83,false
93,true
89,true
98,false
93,false
91,false
88,false
97,false
96,false
95,false
90,false
91,false
90,false
84,false
100,false
91,false
98,false
91,false
96,false
99,false
89,false
98,false
91,false
90,false
95,false
95,false
92,false
89,false
92,true
97,false
90,false
86,false
99,false
91,false
87,false
100,false
97,false
86,false
94,false
102,false
92,false
84,false
91,false
101,false
91,false
92,false
80,false
90,false
91,false
92,false
87,false
99,false
97,false
92,false
88,false
99,false
79,false
92,false
90,false
92,false
96,false
92,false
96,false
89,false
81,false
88,false
98,false
89,false
81,false
78,false
97,false
93,false
96,false
88,false
93,false
93,false
91,false
95,false
86,false
92,false
87,false
83,false
93,false
90,false
87,false
85,false
78,false
93,false
91,false
85,false
95,false
92,false
96,false
86,true
96,true
105,false
95,false
98,false
96,false
97,true
99,false
96,false
88,false
95,false
83,false
88,false
92,false
90,false
87,false
87,false
97,false
98,false
107,false
95,false
99,false
86,false
89,false
89,false
92,false
97,false
96,false
95,false
116,false
100,false
104,false
114,false
111,false
104,false
115,false
114,false
99,false
100,false
100,false
97,true
88,false
96,true
86,false
83,false
95,false
96,false
95,false
88,true
89,false
88,false
94,false
96,false
100,false
89,false
90,false
98,false
99,false
83,false
85,false
84,false
82,false
85,false
94,false
87,false
78,false
94,false
89,false
86,false
85,false
89,false
87,false
93,false
92,false
83,false
87,false
89,true
90,false
87,false
92,false
90,false
88,false
91,false
85,false
102,false
80,false
90,false
85,false
86,false
90,false
88,false
89,false
98,false
98,false
90,false
86,true
90,false
93,true
86,false
87,false
98,false
87,false
96,false
99,false
99,false
91,false
103,false
94,false
92,false
82,false
92,false
93,false
85,false
91,false
92,false
93,false
96,false
90,false
102,false
96,false
90,true
92,false
85,false
97,false
96,false
90,false
99,false
89,false
98,false
95,false
94,false
97,false
90,false
88,false
97,false
90,false
95,false
88,false
96,false
90,false
91,false
94,false
89,false
93,false
89,false
91,false
88,false
85,false
92,false
95,false
94,false
95,false
76,false
92,false
92,false
80,false
94,false
88,false
91,false
94,true
87,false
86,false
76,false
85,false
85,false
89,false
90,false
93,false
87,false
81,false
93,false
84,false
94,false
81,false
91,false
80,false
89,false
91,false
86,false
85,false
85,false
90,false
89,false
90,false
87,false
88,false
90,false
86,false
99,false
86,false
89,false
83,false
83,false
93,false
85,false
87,false
88,false
88,false
91,false
80,false
83,false
91,false
85,false
91,false
85,false
86,false
91,false
81,false
87,false
88,false
92,false
85,false
92,false
90,false
88,false
94,false
89,true
88,false
81,false
86,false
87,false
96,false
94,false
92,false
91,false
82,false
96,false
88,false
80,false
81,false
84,false
84,false
83,false
91,false
82,false
90,false
87,false
88,false
89,false
84,false
95,false
77,false
90,false
84,false
90,false
86,false
82,false
85,false
83,false
89,false
82,false
86,false
89,false
89,false
87,false
86,false
86,false
90,false
83,false
84,false
84,false
91,false
85,false
87,false
94,false
82,false
84,false
84,false
91,false
84,false
89,false
88,false
90,false
90,false
85,false
82,false
87,false
82,false
93,false
90,false
90,false
85,false
84,true
93,false
86,false
91,false
100,false
96,false
85,false
83,false
80,false
89,false
86,false
82,false
76,true
88,false
82,false
88,false
83,false
80,false
91,false
78,false
84,false
87,false
91,false
90,false
90,false
84,false
93,false
84,false
85,false
77,false
89,false
78,false
91,false
83,false
87,false
84,false
97,false
80,false
88,false
86,false
82,false
82,false
86,false
84,false
87,false
87,false
91,false
92,false
87,false
88,false
94,false
81,false
91,false
87,false
88,false
85,false
88,false
87,false
80,false
90,false
86,false
85,false
89,false
92,false
82,false
93,false
88,false
79,false
88,false
86,false
94,false
91,false
91,false
97,false
93,false
101,false
87,false
88,false
95,false
101,false
89,false
84,false
85,false
80,false
95,false
90,false
91,false
83,false
88,false
87,false
86,false
84,false
87,false
86,false
90,false
74,false
98,false
105,false
91,false
92,false
108,false
102,false
100,false
92,false
95,false
89,false
108,true
93,false
85,false
93,false
94,false
101,false
86,false
87,false
96,false
92,false
98,false
90,false
107,false
95,false
90,false
93,false
93,false
90,false
91,false
96,false
93,false
91,false
89,false
97,false
87,false
84,false
97,false
91,false
104,false
84,false
102,false
103,false
92,false
93,false
106,false
91,false
102,false
91,false
89,false
84,false
87,false
86,false
88,false
97,false
83,false
94,false
83,false
85,false
90,false
83,false
77,false
94,false
97,false
95,false
84,false
85,false
88,false
85,false
96,false
92,false
92,false
83,false
103,false
115,true
108,false
100,false
95,false
106,false
106,false
92,false
97,false
92,false
82,false
89,false
89,false
87,false
87,false
87,false
84,true
84,false
87,false
91,false
86,false
85,false
87,false
95,false
91,false
82,false
80,false
84,false
96,false
88,false
88,false
84,false
82,false
79,false
89,false
79,false
85,false
82,false
87,false
103,false
84,false
82,false
78,false
78,false
85,false
86,false
89,false
81,false
81,false
88,false
90,false
76,false
82,false
93,false
91,false
86,false
74,false
82,false
86,false
85,false
89,false
87,false
85,false
85,false
76,false
89,false
79,false
83,false
84,false
87,true
79,false
90,false
85,false
81,true
87,false
83,false
84,false
87,false
85,true
87,false
93,false
85,false
91,false
82,false
86,false
84,false
75,false
84,false
87,false
87,false
87,false
83,false
84,false
86,false
83,false
80,false
72,false
82,false
84,false
80,false
86,false
84,false
80,false
84,false
88,false
82,false
85,false
89,false
88,false
78,false
83,false
79,false
86,false
86,false
82,false
86,false
80,false
83,false
83,false
92,false
91,false
91,false
88,false
84,false
82,true
88,false
80,false
72,false
90,false
83,false
79,false
78,false
94,false
88,false
81,false
85,false
84,false
78,false
78,false
88,false
84,false
84,false
79,false
84,false
85,false
86,false
86,false
95,false
101,false
93,false
98,true
102,false
108,false
134,false
116,false
111,false
95,false
106,false
100,true
90,false
96,false
92,false
84,false
100,false
98,false
93,false
97,false
107,false
96,false
102,false
91,false
93,false
97,false
94,false
92,false
88,false
89,false
90,false
92,false
88,false
91,false
92,false
101,false
89,false
90,false
92,false
93,false
90,false
89,false
94,false
90,false
88,false
93,false
92,false
92,false
84,false
78,false
82,false
87,false
84,false
79,false
83,false
87,false
81,false
86,false
90,false
83,false
94,true
85,false
84,false
88,false
83,false
85,false
80,false
78,false
80,false
86,false
86,false
85,false
88,false
91,false
86,false
87,true
81,false
85,true
89,false
92,false
92,false
79,false
91,false
91,false
94,false
77,false
91,false
85,false
85,false
86,false
90,false
76,false
78,false
87,false
85,true
88,false
83,false
85,false
86,false
82,false
84,false
82,false
85,false
88,false
81,false
90,false
81,false
80,false
88,false
86,false
91,false
88,false
79,false
86,false
90,false
84,false
87,false
86,false
84,false
89,false
84,true
88,false
86,false
78,false
94,false
82,false
80,false
78,false
91,false
92,false
88,false
93,false
92,false
85,false
84,false
85,false
89,false
91,false
90,false
88,false
97,false
83,false
90,false
88,false
82,false
84,false
85,false
90,false
79,false
89,false
85,false
84,false
98,false
92,false
84,false
81,false
82,false
87,false
88,false
85,false
83,false
93,false
84,false
89,false
89,false
83,false
88,false
91,true
87,false
94,false
89,false
90,false
90,false
93,false
89,false
87,false
86,false
87,false
94,false
81,false
79,false
93,false
84,false
82,false
91,false
94,false
84,false
76,false
83,false
82,false
85,false
92,false
97,false
96,false
105,false
82,false
107,false
103,false
95,false
100,false
100,false
121,false
88,false
105,false
99,false
103,false
100,false
99,false
106,false
102,false
96,false
96,false
102,false
96,false
97,false
98,false
90,false
103,false
98,false
99,false
94,false
86,false
98,false
99,false
111,false
94,false
98,false
95,false
96,false
103,false
98,false
92,false
98,false
93,false
91,false
103,false
97,false
90,false
92,false
86,false
91,false
95,false
89,false
95,false
98,false
93,false
100,false
99,false
100,false
99,false
109,false
99,false
106,false
93,false
88,false
92,false
93,false
96,false
99,false
104,false
94,false
97,false
94,false
103,false
90,false
106,false
109,false
99,false
107,false
102,false
90,false
100,false
99,false
94,false
101,false
105,false
108,false
100,false
98,false
94,false
98,false
95,false
90,false
93,false
98,false
98,false
93,false
97,false
96,false
86,false
93,false
88,false
91,false
87,false
97,false
88,false
84,false
89,true
86,false
89,false
95,false
92,false
86,false
87,false
91,false
102,false
102,false
96,false
93,false
95,false
97,false
95,false
97,false
94,false
91,false
84,false
90,false
88,false
87,false
92,false
89,false
91,false
92,false
73,false
88,false
96,false
84,false
88,true
92,false
79,false
89,false
86,false
86,false
76,false
82,false
90,false
82,false
89,false
90,false
90,false
79,false
85,false
77,false
81,false
83,false
88,false
90,false
90,false
86,false
88,false
82,false
84,false
90,false
82,false
88,false
87,false
84,false
85,false
86,false
85,false
88,false
78,false
88,false
78,false
81,false
80,false
84,false
84,false
81,false
85,false
87,false
86,false
84,false
88,false
86,true
85,false
